csv_code,routeName,operator,transportType,totalDistance,vehicleType,operatingTime,baseFare,numTrips,tripTime,frequency
88,Bến Thành - Chợ Long Phước,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,23.60 km,60 chỗ,04:45 - 22:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",216 chuyến/ngày,65 phút,6 - 15 phút
89,Đại học Nông Lâm - Bến tàu Hiệp Bình Chánh,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,16.20 km,60 chỗ,05:00 - 22:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",156 chuyến/ngày,55 phút,10 - 20 phút
90,Phà Bình Khánh - Cần Thạnh,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,45.60 km,55 chỗ,04:30 - 20:00,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 157,500 VNĐ",160 chuyến/ngày,75 phút,6 - 20 phút
91,Bến xe Miền Tây - Chợ nông sản Thủ Đức,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,25.10 km,47 chỗ,04:30 - 21:00,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 157,500 VNĐ",102 chuyến/ngày,80 phút,15 - 30 phút
93,Bến Thành - Bến xe Miền Đông mới,"Công ty Cổ phần Xe khách Sài Gòn, ĐT: (028)39505505",Phổ thông - Có trợ giá,26.20 km,68 chỗ,04:30 - 19:15,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 157,500 VNĐ",120 chuyến/ngày,70 - 80 phút,12 - 20 phút
94,Bến xe buýt Chợ Lớn - Bến xe Củ Chi,"Hợp tác xã vận tải 19/5, ĐT: 18001557 Hợp tác xã vận tải liên tỉnh và du lịch Việt Thắng, ĐT: (028)38.535.935",Phổ thông - Có trợ giá,36.10 km,40 - 80 chỗ,04:00 - 19:00,"- Vé lượt không trợ giá: 10,000 VNĐ - Vé lượt không trợ giá: 20,000 VNĐ - Vé lượt không trợ giá HSSV: 10,000 VNĐ",92 chuyến/ngày,75 phút,12 - 25 phút
95,Ben Xe Mien Dong Kcn Tan Binh,(08) 38.441.224,Phổ thông - Có trợ giá,"19,15",47 - 80 chỗ,05:15 - 18:45,,104 chuyến/ngày,60 - 70 phút,12 - 20 phút
96,Ben Thanh Cho Binh Dien,(08) 38.441.224,Phổ thông - Có trợ giá,"20,7",55 chỗ,03:45 - 21:45,,26 chuyến/ngày,55 phút,30 - 660 phút
99,Chợ Thạnh Mỹ Lợi - Đại học Quốc gia,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,27.50 km,55 chỗ,05:00 - 19:30,"- Vé lượt trợ giá: 7,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 157,500 VNĐ",162 chuyến/ngày,65 - 75 phút,8 - 15 phút
100,Bến xe Củ Chi - Cầu Tân Thái,"Công ty Cổ phần Xe khách Phương Trang Futabuslines, ĐT: 1900638494",Phổ thông - Có trợ giá,16.80 km,55 chỗ,04:45 - 21:00,"- Vé lượt trợ giá: 6,000 VNĐ - Vé lượt trợ giá HSSV: 3,000 VNĐ - Vé miễn: 0 VNĐ - Vé tập: 135,000 VNĐ",136 chuyến/ngày,35 phút,8 - 20 phút
