RouteKey,VariantNumber,AddressNo,Code,Lat,Lng,Name,Routes,Search,Status,StopID,StopType,Street,hasRamp,isWheelChair
134_1,268,Nhà thiếu nhi Củ Chi,HCC 042,10.959.204,106.505.027,Nhà thiếu nhi Củ Chi,"74, 94",NtnCC NtnCC Ql22,Đang khai thác,2001383,Nhà chờ,Quốc lộ 22,No,No
134_1,268,Đối diện Trường Tân Phú Trung,HCC 049,1.093.918,106.540.223,trường THCS Tân Phú Trung,"13, 74, 94",tTTPT DdTTPT Ql22,Đang khai thác,2001384,Nhà chờ,Quốc lộ 22,No,No
134_1,268,135,HCC 051,1.093.454,106.549.798,Mũi Tàu Tân Phú,"74, 94",MTTP 135 Ql22,Đang khai thác,2001391,Trụ dừng,Quốc lộ 22,No,No
134_1,268,Giáo xứ Tân Thịnh,HHM 039,10.916.262,106.564.212,Cầu An Hạ - Giáo xứ Tân Thịnh,"13, 74, 94",CAH-GxTT GxTT Ql22,Đang khai thác,2001388,Trụ dừng,Quốc lộ 22,No,No
134_1,268,Đối diện Cty thoát nước đô thị,HHM 040,10.911.485,106.567.576,Công ty thoát nước đô thị,"74, 94",Cttndt DdCtndt Ql22,Đang khai thác,2001389,Trụ dừng,Quốc lộ 22,No,No
134_1,268,1/147,HHM 042,10.899.622,106.575.848,Ngã 3 Hồng Châu,"13, 74, 94",N3HC 1/147 Ql22,Đang khai thác,2001390,Trụ dừng,Quốc lộ 22,No,No
134_1,268,30/10B,HHM 056,10.854.628,106.607.476,Ngã tư Nguyễn Ảnh Thủ,"122, 24, 74, 85, 94",NtNAT 30/10B Ql22,Đang khai thác,2001393,Nhà chờ,Quốc lộ 22,No,No
134_1,268,47/6,HHM 046,10.883.197,106.587.306,Ngã tư Hóc Môn,"13, 74, 94",NtHM 47/6 Ql22,Đang khai thác,2001395,Trụ dừng,Quốc lộ 22,No,No
134_1,268,13/1,HHM 053,10.860.471,106.603.378,Ngã 3 Củ Cải,"122, 13, 74, 85, 94",N3CC 13/1 Ql22,Đang khai thác,2001234,Nhà chờ,Quốc lộ 22,No,No
134_1,268,Quán ăn xuyên Á,QHMT229,10.853.538,106.608.179,Trung tâm văn hóa Quận 12 - Ngã 4 Trung Chánh,"122, 13, 145, 71, 74, 94",TtvhQ12-N4TC QaxA Ql22,Đang khai thác,2001237,Nhà chờ,Quốc lộ 22,No,No
134_1,268,1B,HHM 058,10.845.124,10.661.356,Bến xe An Sương,"122, 13, 145, 24, 60-1, 65, 66, 71, 74, 85, 94",BxAS 1B Ql22,Đang khai thác,2001239,Trụ dừng,Quốc lộ 22,No,No
134_1,268,Kế 2/6B,Q12 139,1.082.624,10.662.586,Thiên Hòa,"04, 104, 13, 145, 23, 27, 41, 61-8, 62, 65, 66, 94",TH K2/6B TC,Đang khai thác,200169,Nhà chờ,Trường Chinh,No,No
134_1,268,8,QTP 010,10.822.315,106.629.825,Trạm Dệt Thành Công,"04, 104, 13, 145, 23, 27, 32, 41, 61-8, 62, 65, 66, 94, 95",TDTC 8 TC,Đang khai thác,200174,Nhà chờ,Trường Chinh,No,No
